2026-05-10 11:04:42 | INFO | elec.pipeline | 已加载数据文件: /research/elec_remote_runs/v0.47/jupyter-20260510T111127Z/project/total.csv
2026-05-10 11:04:42 | INFO | elec.pipeline | 训练算法: HYBRID_PSO_V040
2026-05-10 11:04:42 | INFO | elec.pipeline | 政策来源文件数: 18
2026-05-10 11:04:42 | INFO | elec.pipeline | 政策候选规则数: 36
2026-05-10 11:04:42 | INFO | elec.pipeline | 政策正式规则数: 36
2026-05-10 11:04:42 | INFO | elec.pipeline | 滚动重训窗口数: 10
2026-05-10 11:04:42 | INFO | elec.train | 开始执行 v0.47 训练模块。
2026-05-10 11:05:56 | INFO | elec.train | 训练模块执行完成。
2026-05-10 11:05:56 | INFO | elec.evaluate | 开始执行验证模块。
2026-05-10 11:05:56 | INFO | elec.evaluate | 验证模块执行完成。
2026-05-10 11:05:56 | INFO | elec.backtest | 开始执行 v0.47 回测模块。
2026-05-10 11:17:50 | INFO | elec.backtest | 回测模块执行完成。
